Barcode,Cluster
1,DCIS_2
2,DCIS_2
3,Unlabeled
4,Invasive_Tumor
5,DCIS_2
6,Unlabeled
7,Unlabeled
8,DCIS_2
9,Macrophages_1
10,Macrophages_1
11,Macrophages_1
12,Unlabeled
13,DCIS_2
14,DCIS_2
15,DCIS_2
16,Macrophages_1
17,DCIS_2
18,DCIS_2
19,Invasive_Tumor
20,Invasive_Tumor
21,DCIS_2
22,Invasive_Tumor
23,Invasive_Tumor
24,DCIS_2
25,Unlabeled
26,Stromal
27,DCIS_2
28,DCIS_2
29,DCIS_2
30,DCIS_2
31,DCIS_2
32,Macrophages_1
33,Unlabeled
34,Unlabeled
35,Invasive_Tumor
36,Unlabeled
37,DCIS_1
38,Unlabeled
39,Unlabeled
40,Unlabeled
41,Invasive_Tumor
42,Unlabeled
43,Myoepi_ACTA2+
44,DCIS_2
45,Invasive_Tumor
46,Unlabeled
47,Macrophages_1
48,Invasive_Tumor
49,DCIS_2
50,Unlabeled
51,Unlabeled
52,Invasive_Tumor
53,DCIS_2
54,Unlabeled
55,Unlabeled
56,Macrophages_1
57,DCIS_2
58,Unlabeled
59,DCIS_1
60,Unlabeled
61,Invasive_Tumor
62,Unlabeled
63,Unlabeled
64,Unlabeled
65,DCIS_2
66,Invasive_Tumor
67,CD8+_T_Cells
68,Invasive_Tumor
69,DCIS_2
70,Myoepi_ACTA2+
71,Myoepi_ACTA2+
72,Myoepi_ACTA2+
73,Endothelial
74,Stromal
75,DCIS_2
76,Myoepi_ACTA2+
77,DCIS_2
78,DCIS_2
79,Invasive_Tumor
80,Invasive_Tumor
81,DCIS_2
82,Invasive_Tumor
83,Invasive_Tumor
84,DCIS_2
85,DCIS_2
86,DCIS_2
87,DCIS_2
88,DCIS_2
89,Invasive_Tumor
90,Invasive_Tumor
91,Invasive_Tumor
92,DCIS_2
93,DCIS_2
94,DCIS_2
95,DCIS_2
96,DCIS_2
97,Invasive_Tumor
98,Invasive_Tumor
99,Invasive_Tumor
100,Invasive_Tumor
101,DCIS_2
102,Invasive_Tumor
103,DCIS_2
104,Invasive_Tumor
105,DCIS_2
106,DCIS_2
107,DCIS_2
108,DCIS_2
109,DCIS_2
110,Invasive_Tumor
111,DCIS_2
112,DCIS_2
113,DCIS_2
114,DCIS_2
115,Invasive_Tumor
116,Invasive_Tumor
117,DCIS_2
118,Invasive_Tumor
119,DCIS_2
120,Invasive_Tumor
121,Invasive_Tumor
122,Invasive_Tumor
123,DCIS_2
124,DCIS_2
125,Invasive_Tumor
126,DCIS_2
127,Invasive_Tumor
128,DCIS_2
129,DCIS_2
130,DCIS_2
131,DCIS_2
132,Invasive_Tumor
133,Invasive_Tumor
134,DCIS_2
135,Invasive_Tumor
136,Myoepi_ACTA2+
137,Myoepi_ACTA2+
138,DCIS_2
139,Myoepi_ACTA2+
140,DCIS_2
141,DCIS_2
142,Myoepi_ACTA2+
143,Macrophages_1
144,DCIS_2
145,DCIS_2
146,DCIS_2
147,DCIS_2
148,DCIS_2
149,DCIS_2
150,Invasive_Tumor
151,DCIS_2
152,DCIS_2
153,DCIS_2
154,DCIS_2
155,DCIS_2
156,Invasive_Tumor
157,DCIS_2
158,DCIS_2
159,DCIS_2
160,DCIS_2
161,DCIS_2
162,DCIS_2
163,Myoepi_ACTA2+
164,Macrophages_1
165,DCIS_2
166,Endothelial
167,DCIS_2
168,Macrophages_1
169,Stromal
170,DCIS_2
171,Invasive_Tumor
172,Endothelial
173,Myoepi_ACTA2+
174,DCIS_2
175,Endothelial
176,DCIS_2
177,Myoepi_ACTA2+
178,DCIS_2
179,Unlabeled
180,DCIS_2
181,Unlabeled
182,DCIS_2
183,Macrophages_1
184,DCIS_2
185,Invasive_Tumor
186,DCIS_2
187,Macrophages_1
188,Macrophages_1
189,Invasive_Tumor
190,Unlabeled
191,Macrophages_1
192,Macrophages_1
193,DCIS_2
194,Unlabeled
195,DCIS_2
196,Invasive_Tumor
197,DCIS_2
198,DCIS_2
199,DCIS_2
200,DCIS_1
