"","anno","cluster","x_centroid","y_centroid","cells","rep"
"163","Myoepithelial","c5",486.678955078125,856.34548034668,"163","rep1"
"166","Endothelial","c8",461.338641357422,843.519839477539,"166","rep1"
"169","Stromal","c3",467.386383056641,857.839880371094,"169","rep1"
"172","Endothelial","c8",459.463806152344,870.599737548828,"172","rep1"
"173","Myoepithelial","c5",486.497998046875,840.511169433594,"173","rep1"
"174","DCIS","c2",498.128845214844,846.910034179688,"174","rep1"
"175","Endothelial","c8",474.962194824219,847.76247253418,"175","rep1"
"177","Myoepithelial","c5",484.795092773437,869.21335144043,"177","rep1"
"304","Tumor","c1",241.050303649902,864.413217163086,"304","rep1"
"306","Macrophages","c4",277.568968200684,856.353677368164,"306","rep1"
"308","Tumor","c1",259.308131408691,851.797741699219,"308","rep1"
"311","Tumor","c1",207.119835662842,874.980163574219,"311","rep1"
"312","T_Cells","c6",235.523617553711,860.301165771484,"312","rep1"
"313","Stromal","c3",439.748101806641,866.960623168945,"313","rep1"
"316","Tumor","c1",253.260285949707,869.565615844726,"316","rep1"
"318","Tumor","c1",258.996696472168,841.518417358398,"318","rep1"
"321","Tumor","c1",205.288488769531,860.148483276367,"321","rep1"
"322","Tumor","c1",249.133734130859,851.5041015625,"322","rep1"
"323","Macrophages","c4",230.67575378418,847.651190185547,"323","rep1"
"326","Macrophages","c4",226.18687286377,855.789483642578,"326","rep1"
"329","Endothelial","c8",408.161164855957,846.152847290039,"329","rep1"
"330","T_Cells","c6",240.959487915039,848.479815673828,"330","rep1"
"331","Macrophages","c4",411.923338317871,856.103460693359,"331","rep1"
"333","Tumor","c1",255.0896484375,861.569784545898,"333","rep1"
"334","Stromal","c3",404.641062927246,861.092126464844,"334","rep1"
"339","Tumor","c1",244.580029296875,841.88313293457,"339","rep1"
"340","T_Cells","c6",345.428918457031,845.974951171875,"340","rep1"
"343","Tumor","c1",222.464880371094,867.061840820312,"343","rep1"
"344","Tumor","c1",268.897920227051,862.658847045898,"344","rep1"
"345","Macrophages","c4",277.190296936035,844.598266601562,"345","rep1"
"346","Stromal","c3",426.801243591309,859.878085327148,"346","rep1"
"347","Tumor","c1",297.857530212402,868.191940307617,"347","rep1"
"348","T_Cells","c6",294.269750976562,845.86123046875,"348","rep1"
"349","Tumor","c1",296.263391113281,856.756887817383,"349","rep1"
"350","Macrophages","c4",305.55323638916,841.829748535156,"350","rep1"
"352","Stromal","c3",308.502452087402,850.430966186523,"352","rep1"
"353","Stromal","c3",311.147625732422,860.540435791016,"353","rep1"
"354","T_Cells","c6",316.796022033691,856.108804321289,"354","rep1"
"355","B_Cells","c7",316.917991638184,847.210366821289,"355","rep1"
"356","T_Cells","c6",320.349871826172,863.188800048828,"356","rep1"
"357","T_Cells","c6",319.842123413086,869.201263427734,"357","rep1"
"358","T_Cells","c6",322.967263793945,841.864352416992,"358","rep1"
"359","B_Cells","c7",323.740299987793,854.913491821289,"359","rep1"
"360","Macrophages","c4",327.28540802002,847.568753051758,"360","rep1"
"361","T_Cells","c6",328.452056884766,867.541159057617,"361","rep1"
"362","T_Cells","c6",331.166075134277,857.646731567383,"362","rep1"
"363","T_Cells","c6",332.89821472168,850.185314941406,"363","rep1"
"364","Macrophages","c4",337.001290893555,845.355349731445,"364","rep1"
"365","Endothelial","c8",336.861578369141,865.188510131836,"365","rep1"
"366","Macrophages","c4",345.931297302246,856.896185302734,"366","rep1"
"367","Macrophages","c4",345.510447692871,866.357208251953,"367","rep1"
"369","T_Cells","c6",338.916151428223,853.79714050293,"369","rep1"
"370","T_Cells","c6",353.938723754883,870.44814453125,"370","rep1"
"371","T_Cells","c6",355.141688537598,863.435488891601,"371","rep1"
"372","B_Cells","c7",355.848681640625,848.782431030273,"372","rep1"
"373","B_Cells","c7",362.697137451172,849.760522460938,"373","rep1"
"374","Macrophages","c4",418.181011962891,861.74596862793,"374","rep1"
"375","T_Cells","c6",361.967420959473,857.772021484375,"375","rep1"
"376","Stromal","c3",418.13525390625,850.065264892578,"376","rep1"
"377","Stromal","c3",368.911958312988,846.457849121094,"377","rep1"
"378","T_Cells","c6",370.580752563477,865.191934204102,"378","rep1"
"379","T_Cells","c6",383.004168701172,867.683673095703,"379","rep1"
"380","T_Cells","c6",382.017024230957,851.058349609375,"380","rep1"
"381","Macrophages","c4",377.665599060059,843.5419921875,"381","rep1"
"382","T_Cells","c6",382.078657531738,858.944818115234,"382","rep1"
"383","T_Cells","c6",390.290179443359,862.13703918457,"383","rep1"
"384","T_Cells","c6",391.859753417969,848.500930786133,"384","rep1"
"385","Stromal","c3",401.702067565918,849.831338500977,"385","rep1"
"386","B_Cells","c7",398.205519104004,870.33655090332,"386","rep1"
"1094","Tumor","c1",244.022605895996,874.964910888672,"1094","rep1"
"14915","DCIS","c2",499.680935668945,628.353369140625,"14915","rep1"
"15419","DCIS","c2",430.381240844727,531.645584106445,"15419","rep1"
"15420","Tumor","c1",437.322872924805,539.892617797852,"15420","rep1"
"15421","DCIS","c2",408.803437805176,537.24612121582,"15421","rep1"
"15422","Tumor","c1",479.499557495117,536.770693969726,"15422","rep1"
"15423","Tumor","c1",464.816928100586,540.068905639648,"15423","rep1"
"15424","Tumor","c1",450.610037231445,541.733782958984,"15424","rep1"
"15425","DCIS","c2",427.172677612305,545.068673706055,"15425","rep1"
"15426","Tumor","c1",414.063539123535,543.419931030273,"15426","rep1"
"15427","Tumor","c1",486.310400390625,547.281039428711,"15427","rep1"
"15428","DCIS","c2",470.805526733398,550.43014831543,"15428","rep1"
"15429","Tumor","c1",410.833108520508,550.798910522461,"15429","rep1"
"15430","DCIS","c2",482.089608764648,553.164373779297,"15430","rep1"
"15431","Tumor","c1",420.986027526855,554.402227783203,"15431","rep1"
"15432","Tumor","c1",455.869619750977,555.992034912109,"15432","rep1"
"15433","Tumor","c1",443.854602050781,554.996667480469,"15433","rep1"
"15434","DCIS","c2",408.530964660645,559.75950012207,"15434","rep1"
"15435","DCIS","c2",480.635571289063,561.007626342773,"15435","rep1"
"15436","DCIS","c2",416.968630981445,562.062707519531,"15436","rep1"
"15437","Tumor","c1",469.383654785156,564.430505371094,"15437","rep1"
"15438","Tumor","c1",435.2896484375,561.121813964844,"15438","rep1"
"15439","DCIS","c2",423.940690612793,564.909097290039,"15439","rep1"
"15440","Tumor","c1",453.182189941406,566.648162841797,"15440","rep1"
"15441","DCIS","c2",414.196611022949,573.78616027832,"15441","rep1"
"15442","Tumor","c1",443.8328125,570.088473510742,"15442","rep1"
"15443","DCIS","c2",457.391983032227,571.743130493164,"15443","rep1"
"15444","Tumor","c1",407.673623657227,572.098559570312,"15444","rep1"
"15445","Tumor","c1",424.826747131348,573.531066894531,"15445","rep1"
"15446","DCIS","c2",469.90592956543,573.961358642578,"15446","rep1"
"15447","DCIS","c2",451.068447875977,577.0271484375,"15447","rep1"
"15448","Tumor","c1",490.906958007812,575.188629150391,"15448","rep1"
"15449","Tumor","c1",460.969619750977,575.753652954102,"15449","rep1"
"15450","Tumor","c1",432.583671569824,575.784158325195,"15450","rep1"
"15451","Myoepithelial","c5",404.369860839844,576.910729980469,"15451","rep1"
"15452","DCIS","c2",479.269729614258,579.202471923828,"15452","rep1"
"15453","Myoepithelial","c5",437.832125854492,584.288723754883,"15453","rep1"
"15455","Myoepithelial","c5",417.287977600098,583.627670288086,"15455","rep1"
"15456","DCIS","c2",446.476455688477,587.78034362793,"15456","rep1"
"15457","DCIS","c2",486.501422119141,587.14450378418,"15457","rep1"
"15458","Myoepithelial","c5",429.465379333496,586.825079345703,"15458","rep1"
"15459","Tumor","c1",460.463272094727,584.74059753418,"15459","rep1"
"15460","Myoepithelial","c5",456.128033447266,590.503155517578,"15460","rep1"
"15461","Endothelial","c8",419.204498291016,590.879440307617,"15461","rep1"
"15462","Myoepithelial","c5",468.438662719727,593.360958862305,"15462","rep1"
"15463","Myoepithelial","c5",480.973776245117,593.395822143555,"15463","rep1"
"15464","T_Cells","c6",438.804510498047,596.649572753906,"15464","rep1"
"15465","Macrophages","c4",403.275791931152,598.200988769531,"15465","rep1"
"15466","Stromal","c3",459.577111816406,598.669775390625,"15466","rep1"
"15467","Stromal","c3",473.667013549805,602.363778686523,"15467","rep1"
"15468","Stromal","c3",485.679125976562,603.493930053711,"15468","rep1"
"15469","Stromal","c3",414.984562683105,603.165322875977,"15469","rep1"
"15470","Stromal","c3",436.848016357422,603.436032104492,"15470","rep1"
"15471","Stromal","c3",459.043319702148,606.794009399414,"15471","rep1"
"15472","Stromal","c3",430.10682220459,606.871932983398,"15472","rep1"
"15473","DCIS","c2",491.872442626953,536.288159179687,"15473","rep1"
"15474","Myoepithelial","c5",497.303125,590.79518737793,"15474","rep1"
"15475","Tumor","c1",494.576577758789,564.624743652344,"15475","rep1"
"15476","Tumor","c1",498.839340209961,541.529220581055,"15476","rep1"
"15733","T_Cells","c6",479.851977539062,319.422700500488,"15733","rep1"
"15734","Stromal","c3",481.695529174805,225.016592407227,"15734","rep1"
"15735","Stromal","c3",484.470376586914,243.26656036377,"15735","rep1"
"15736","Stromal","c3",486.094424438477,318.413092041016,"15736","rep1"
"15737","Stromal","c3",488.264819335937,305.674816894531,"15737","rep1"
"15738","Stromal","c3",484.565057373047,279.387254333496,"15738","rep1"
"15739","Stromal","c3",492.566439819336,208.524379730225,"15739","rep1"
"15740","Stromal","c3",498.215380859375,225.45308380127,"15740","rep1"
"15741","Stromal","c3",491.097201538086,255.687097167969,"15741","rep1"
"15743","Endothelial","c8",499.908792114258,300.049221801758,"15743","rep1"
"16125","T_Cells","c6",335.954406738281,751.944323730469,"16125","rep1"
"16126","Macrophages","c4",336.345555114746,713.308544921875,"16126","rep1"
"16127","Stromal","c3",339.248960876465,741.191491699219,"16127","rep1"
"16128","Macrophages","c4",340.166249084473,701.2068359375,"16128","rep1"
"16129","T_Cells","c6",342.243338012695,704.94421081543,"16129","rep1"
"16130","Stromal","c3",345.240101623535,712.623522949219,"16130","rep1"
"16131","Macrophages","c4",347.371145629883,750.519909667969,"16131","rep1"
"16132","T_Cells","c6",349.552694702148,737.169451904297,"16132","rep1"
"16133","Endothelial","c8",352.499783325195,703.005718994141,"16133","rep1"
"16134","Stromal","c3",354.881433105469,748.549459838867,"16134","rep1"
"16137","T_Cells","c6",361.701069641113,724.93176574707,"16137","rep1"
"16138","Endothelial","c8",361.180039978027,707.821209716797,"16138","rep1"
"16139","Macrophages","c4",364.141369628906,744.536862182617,"16139","rep1"
"16140","Myoepithelial","c5",370.307397460937,708.734710693359,"16140","rep1"
"16141","Myoepithelial","c5",373.635906982422,746.249105834961,"16141","rep1"
"16142","Myoepithelial","c5",372.15852355957,724.525286865234,"16142","rep1"
"16143","DCIS","c2",377.317796325684,735.549865722656,"16143","rep1"
"16144","DCIS","c2",378.585870361328,701.444653320312,"16144","rep1"
"16145","DCIS","c2",382.620024108887,718.494354248047,"16145","rep1"
"16146","DCIS","c2",388.756013488769,748.651455688477,"16146","rep1"
"16147","Tumor","c1",393.774095153809,739.668920898437,"16147","rep1"
"16149","DCIS","c2",394.270948791504,718.919976806641,"16149","rep1"
"16150","DCIS","c2",395.829653930664,708.079623413086,"16150","rep1"
"16151","Tumor","c1",408.379734802246,717.803833007812,"16151","rep1"
"16152","Macrophages","c4",407.137756347656,725.708563232422,"16152","rep1"
"16153","Tumor","c1",408.702972412109,708.176690673828,"16153","rep1"
"16154","Tumor","c1",409.190409851074,747.541122436523,"16154","rep1"
"16155","Tumor","c1",409.446099853516,737.818521118164,"16155","rep1"
"16156","Tumor","c1",418.388479614258,702.624349975586,"16156","rep1"
"16157","Tumor","c1",417.908279418945,732.186544799805,"16157","rep1"
"16158","Tumor","c1",422.445045471191,717.372503662109,"16158","rep1"
"16159","Tumor","c1",424.932192993164,740.665844726562,"16159","rep1"
"16160","Tumor","c1",426.9125,728.933364868164,"16160","rep1"
"16161","DCIS","c2",427.064767456055,707.581213378906,"16161","rep1"
"16162","Tumor","c1",428.312893676758,749.560858154297,"16162","rep1"
"16163","Tumor","c1",432.445463562012,723.134127807617,"16163","rep1"
"16164","DCIS","c2",435.736437988281,714.59137878418,"16164","rep1"
"16165","DCIS","c2",434.942909240723,736.706216430664,"16165","rep1"
"16166","Tumor","c1",437.053720092773,701.115319824219,"16166","rep1"
"16167","DCIS","c2",442.166793823242,755.170993041992,"16167","rep1"
"16168","DCIS","c2",438.249136352539,707.74250793457,"16168","rep1"
"16169","Tumor","c1",442.008248901367,722.227008056641,"16169","rep1"
"16170","Tumor","c1",444.177917480469,742.467529296875,"16170","rep1"
"16171","DCIS","c2",447.185705566406,700.105477905273,"16171","rep1"
"16172","DCIS","c2",445.960614013672,730.78381652832,"16172","rep1"
"16173","Tumor","c1",449.816171264648,709.051385498047,"16173","rep1"
"16174","DCIS","c2",451.543615722656,724.061428833008,"16174","rep1"
"16175","Tumor","c1",450.364385986328,717.113519287109,"16175","rep1"
"16176","DCIS","c2",458.742779541016,728.453372192383,"16176","rep1"
"16177","Tumor","c1",456.26701965332,741.324615478516,"16177","rep1"
"16178","Tumor","c1",457.26383972168,753.103631591797,"16178","rep1"
"16179","DCIS","c2",460.111630249023,711.847451782227,"16179","rep1"
"16180","DCIS","c2",462.327627563477,734.174063110352,"16180","rep1"
"16181","DCIS","c2",464.666891479492,720.664956665039,"16181","rep1"
"16182","DCIS","c2",466.932537841797,740.650747680664,"16182","rep1"
"16183","DCIS","c2",468.300143432617,749.124340820312,"16183","rep1"
"16184","Tumor","c1",468.180456542969,706.337963867187,"16184","rep1"
"16185","DCIS","c2",472.066778564453,728.694613647461,"16185","rep1"
"16186","Tumor","c1",475.447375488281,751.990237426758,"16186","rep1"
"16187","Tumor","c1",476.502923583984,735.629190063477,"16187","rep1"
"16188","DCIS","c2",475.513626098633,720.750143432617,"16188","rep1"
"16189","DCIS","c2",481.831713867187,743.063732910156,"16189","rep1"
"16190","DCIS","c2",478.249926757812,702.005474853516,"16190","rep1"
"16191","DCIS","c2",485.312802124023,751.591488647461,"16191","rep1"
"16192","Tumor","c1",482.611520385742,723.779876708984,"16192","rep1"
"16193","DCIS","c2",480.180480957031,712.310998535156,"16193","rep1"
"16194","DCIS","c2",487.273550415039,730.524261474609,"16194","rep1"
"16195","Tumor","c1",485.628335571289,697.870959472656,"16195","rep1"
"16196","Tumor","c1",489.867388916016,715.585708618164,"16196","rep1"
"16197","Tumor","c1",492.177807617188,723.818423461914,"16197","rep1"
"16198","DCIS","c2",493.013488769531,701.661511230469,"16198","rep1"
"16199","Tumor","c1",499.568771362305,707.20166015625,"16199","rep1"
"16200","DCIS","c2",498.138909912109,723.132778930664,"16200","rep1"
"16201","Macrophages","c4",352.776847839355,756.88147277832,"16201","rep1"
"16202","Tumor","c1",496.991223144531,738.78151550293,"16202","rep1"
"16206","Tumor","c1",285.28604888916,631.877777099609,"16206","rep1"
"16207","T_Cells","c6",289.210554504395,682.935986328125,"16207","rep1"
"16208","Endothelial","c8",290.551908874512,694.649011230469,"16208","rep1"
"16209","Tumor","c1",291.21926574707,640.351992797851,"16209","rep1"
"16210","Tumor","c1",293.250311279297,631.272131347656,"16210","rep1"
"16211","Tumor","c1",292.662538146973,649.106567382812,"16211","rep1"
"16212","Tumor","c1",291.156983947754,659.746508789062,"16212","rep1"
"16214","Tumor","c1",296.942965698242,655.670980834961,"16214","rep1"
"16215","Tumor","c1",295.567085266113,667.716918945312,"16215","rep1"
"16216","Tumor","c1",300.811492919922,629.513973999023,"16216","rep1"
"16217","Tumor","c1",303.832614135742,674.408178710937,"16217","rep1"
"16218","Tumor","c1",305.579591369629,662.001416015625,"16218","rep1"
"16219","Tumor","c1",301.37093963623,639.463238525391,"16219","rep1"
"16220","T_Cells","c6",300.656657409668,695.648892211914,"16220","rep1"
"16221","Tumor","c1",308.856843566894,654.391467285156,"16221","rep1"
"16222","Tumor","c1",307.93610534668,636.026922607422,"16222","rep1"
"16223","Tumor","c1",308.969422912598,647.069866943359,"16223","rep1"
"16224","B_Cells","c7",309.735974121094,691.895642089844,"16224","rep1"
"16225","Macrophages","c4",315.153868103027,638.006762695312,"16225","rep1"
"16227","Macrophages","c4",320.389767456055,688.711981201172,"16227","rep1"
"16229","T_Cells","c6",325.04033203125,642.556057739258,"16229","rep1"
"16230","Stromal","c3",324.035678100586,698.746224975586,"16230","rep1"
"16231","Macrophages","c4",324.833979797363,654.552709960937,"16231","rep1"
"16232","B_Cells","c7",333.127523803711,674.173266601562,"16232","rep1"
"16233","Stromal","c3",332.816218566895,697.649795532227,"16233","rep1"
"16234","B_Cells","c7",335.684527587891,660.33415222168,"16234","rep1"
"16235","Stromal","c3",333.830937194824,688.085375976562,"16235","rep1"
"16236","T_Cells","c6",338.48611907959,680.192163085938,"16236","rep1"
"16237","Macrophages","c4",337.638349914551,694.621463012695,"16237","rep1"
"16238","Macrophages","c4",341.236764526367,693.277462768555,"16238","rep1"
"16239","Macrophages","c4",346.473753356934,653.713034057617,"16239","rep1"
"16240","Endothelial","c8",347.555448913574,684.429089355469,"16240","rep1"
"16241","Endothelial","c8",348.286332702637,692.292626953125,"16241","rep1"
"16242","Stromal","c3",347.982446289062,673.371099853516,"16242","rep1"
"16243","Macrophages","c4",348.131367492676,638.020770263672,"16243","rep1"
"16244","Macrophages","c4",357.449461364746,685.307415771484,"16244","rep1"
"16245","Stromal","c3",362.45361328125,656.635842895508,"16245","rep1"
"16247","Stromal","c3",366.595132446289,632.384280395508,"16247","rep1"
"16248","Myoepithelial","c5",366.989056396484,690.9205078125,"16248","rep1"
"16249","Stromal","c3",371.209873962402,671.068515014648,"16249","rep1"
"16250","Myoepithelial","c5",376.681463623047,677.058981323242,"16250","rep1"
"16251","Myoepithelial","c5",379.290528869629,691.671313476562,"16251","rep1"
"16252","DCIS","c2",381.987841796875,685.059844970703,"16252","rep1"
"16253","Stromal","c3",392.57826385498,631.126400756836,"16253","rep1"
"16254","Myoepithelial","c5",377.531126403809,663.53420715332,"16254","rep1"
"16255","Myoepithelial","c5",384.323370361328,676.229214477539,"16255","rep1"
"16256","Myoepithelial","c5",385.110154724121,660.507327270508,"16256","rep1"
"16257","DCIS","c2",387.010877990723,689.504135131836,"16257","rep1"
"16258","Macrophages","c4",385.439202880859,622.97529296875,"16258","rep1"
"16259","DCIS","c2",390.970376586914,697.832360839844,"16259","rep1"
"16260","Tumor","c1",400.017346191406,654.253726196289,"16260","rep1"
"16261","DCIS","c2",394.941184997559,677.730151367187,"16261","rep1"
"16262","DCIS","c2",393.812460327148,686.299826049805,"16262","rep1"
"16263","DCIS","c2",396.310580444336,669.97063293457,"16263","rep1"
"16264","DCIS","c2",396.807511901855,647.215130615234,"16264","rep1"
"16265","Endothelial","c8",383.372256469727,649.398287963867,"16265","rep1"
"16266","DCIS","c2",401.299583435059,644.020419311523,"16266","rep1"
"16267","Stromal","c3",381.340173339844,635.977844238281,"16267","rep1"
"16269","Myoepithelial","c5",394.219120788574,664.997998046875,"16269","rep1"
"16270","Tumor","c1",403.645513916016,685.439865112305,"16270","rep1"
"16271","DCIS","c2",404.800360107422,695.699267578125,"16271","rep1"
"16272","Tumor","c1",412.285252380371,697.363989257812,"16272","rep1"
"16338","Myoepithelial","c5",498.073956298828,815.875228881836,"16338","rep1"
"16339","DCIS","c2",499.402444458008,839.537591552734,"16339","rep1"
"16340","Myoepithelial","c5",498.508087158203,776.909494018555,"16340","rep1"
"16385","Macrophages","c4",428.488973999023,816.614154052734,"16385","rep1"
"16386","Myoepithelial","c5",436.640341186523,809.965487670898,"16386","rep1"
"16387","Endothelial","c8",437.046145629883,822.318969726562,"16387","rep1"
"16388","Stromal","c3",445.135256958008,817.444491577148,"16388","rep1"
"16389","Myoepithelial","c5",434.142350769043,803.149560546875,"16389","rep1"
"16390","Myoepithelial","c5",445.629516601562,809.248455810547,"16390","rep1"
"16391","Endothelial","c8",447.739938354492,822.954965209961,"16391","rep1"
"16392","DCIS","c2",446.172958374023,799.737783813477,"16392","rep1"
"16393","Myoepithelial","c5",426.66293182373,799.255975341797,"16393","rep1"
"16395","DCIS","c2",454.223782348633,798.642184448242,"16395","rep1"
"16396","Stromal","c3",428.449311828613,835.786209106445,"16396","rep1"
"16397","Myoepithelial","c5",416.499507141113,798.373291015625,"16397","rep1"
"16398","DCIS","c2",436.778912353516,788.505477905273,"16398","rep1"
"16399","Myoepithelial","c5",460.631518554687,809.177484130859,"16399","rep1"
"16401","DCIS","c2",430.816409301758,785.703393554688,"16401","rep1"
"16402","Stromal","c3",456.82021484375,826.629150390625,"16402","rep1"
"16403","Myoepithelial","c5",410.918217468262,807.817971801758,"16403","rep1"
"16404","B_Cells","c7",447.426843261719,843.307287597656,"16404","rep1"
"16405","B_Cells","c7",415.482376098633,834.230590820312,"16405","rep1"
"16406","Stromal","c3",408.245729064941,821.422329711914,"16406","rep1"
"16407","DCIS","c2",418.115798950195,783.356192016602,"16407","rep1"
"16408","Tumor","c1",451.035815429687,783.588977050781,"16408","rep1"
"16409","DCIS","c2",465.319592285156,799.16233215332,"16409","rep1"
"16410","Myoepithelial","c5",460.489315795898,790.704666137695,"16410","rep1"
"16411","T_Cells","c6",465.718341064453,821.626943969727,"16411","rep1"
"16412","Myoepithelial","c5",401.50269317627,796.208862304688,"16412","rep1"
"16413","Endothelial","c8",403.168374633789,834.431469726562,"16413","rep1"
"16414","Myoepithelial","c5",472.16633605957,795.565914916992,"16414","rep1"
"16415","DCIS","c2",447.948184204102,770.56448059082,"16415","rep1"
"16416","Endothelial","c8",396.717707824707,824.785494995117,"16416","rep1"
"16417","Stromal","c3",475.894787597656,825.826153564453,"16417","rep1"
"16418","T_Cells","c6",396.079559326172,814.300622558594,"16418","rep1"
"16419","DCIS","c2",433.588948059082,771.039492797851,"16419","rep1"
"16421","Stromal","c3",477.652270507812,805.492922973633,"16421","rep1"
"16422","Tumor","c1",464.59010925293,780.416625976562,"16422","rep1"
"16424","Endothelial","c8",398.519288635254,841.764068603516,"16424","rep1"
"16425","Endothelial","c8",391.762660217285,830.847918701172,"16425","rep1"
"16426","DCIS","c2",431.111268615723,763.339999389648,"16426","rep1"
"16427","DCIS","c2",477.288229370117,785.015570068359,"16427","rep1"
"16428","Macrophages","c4",384.247677612305,804.359555053711,"16428","rep1"
"16429","Stromal","c3",383.855413818359,814.712030029297,"16429","rep1"
"16430","Tumor","c1",416.727363586426,769.360296630859,"16430","rep1"
"16431","Stromal","c3",485.95891418457,815.830197143555,"16431","rep1"
"16432","Tumor","c1",458.507556152344,766.724020385742,"16432","rep1"
"16433","T_Cells","c6",387.217230224609,836.286538696289,"16433","rep1"
"16434","DCIS","c2",468.383099365234,772.708779907227,"16434","rep1"
"16435","Endothelial","c8",490.641540527344,808.335006713867,"16435","rep1"
"16436","DCIS","c2",421.01930847168,757.940756225586,"16436","rep1"
"16437","DCIS","c2",402.431369018555,772.834121704102,"16437","rep1"
